Manufacturer,Model,Price Display,Price
Xiaomi,Redmi Note 4,"5,000.00",5000
TCL,5099I,"5,000.00",5000
samsung,SM-A260G,"5,199.00",5199
LENOVO,Lenovo A2010-a,"5,490.00",5490
motorola,Moto E (4) Plus,"5,999.00",5999
TECNO,TECNO IN5,"6,000.00",6000
vivo,vivo 1601,"6,000.00",6000
motorola,Moto C Plus,"6,900.00",6900
Xiaomi,Redmi 8A Dual,"7,000.00",7000
Realme,RMX1941,"7,500.00",7500
OPPO,CPH1923,"7,500.00",7500
samsung,SM-M013F,"7,999.00",7999
motorola,XT1706,"7,999.00",7999
Xiaomi,Redmi 5,"8,000.00",8000
vivo,vivo 1815,"9,000.00",9000
Xiaomi,Redmi Y2,"9,000.00",9000
samsung,SM-J600G,"9,490.00",9490
vivo,vivo 1904,"9,900.00",9900
samsung,SM-M015G,"9,999.00",9999
samsung,SM-J250F,"6,799.00",6799
Xiaomi,Redmi 6A,"7,000.00",7000
Micromax,B5Pro,"8,000.00",8000
OPPO,CPH1859,"9,000.00",9000
samsung,SM-M205F,"9,990.00",9990
INFINIX MOBILITY LIMITED,Infinix X652B,"9,999.00",9999
motorola,XT1635-02,"7,999.00",7999
Xiaomi,MI MAX 2,"9,000.00",9000
Xiaomi,Redmi 6,"7,000.00",7000
OPPO,A37f,"8,000.00",8000
Cellecor,S3,"1,000.00",1000
Micromax,Micromax Q402+,"2,615.00",2615
motorola,MotoG3,"3,000.00",3000
mobiistar,C1 Lite,"3,000.00",3000
ZIOX,Duotel_D1,"3,000.00",3000
Xiaomi,2014818,"3,500.00",3500
LAVA,Z50,"3,999.00",3999
samsung,GT-I9082,"4,000.00",4000
MITO,MITO_A37_Z1,"4,000.00",4000
LYF,LS-5017,"4,000.00",4000
LAVA,LN9910,"4,000.00",4000
Micromax,Micromax Q4002,"4,600.00",4600
YU,YU5014,"4,896.00",4896
YU,YU5530,"4,896.00",4896
Lenovo,Lenovo L18021,"4,990.00",4990
Micromax,Micromax Q4101,"4,990.00",4990
samsung,SM-J320F,"4,999.00",4999
Xiaomi,Redmi 4,"5,000.00",5000
Xiaomi,Redmi 3S,"5,000.00",5000
HMD Global,Nokia 2,"5,000.00",5000
HMD Global,Nokia 1,"5,000.00",5000
Xiaomi,Redmi 4A,"5,000.00",5000
PANASONIC,P100,"5,000.00",5000
Cellecor,S2,"5,000.00",5000
itel,itel L5002P,"5,000.00",5000
GIONEE,GIONEE F205,"5,000.00",5000
Xiaomi,Redmi Go,"5,000.00",5000
OPPO,F1f,"5,000.00",5000
itel,itel A45,"5,000.00",5000
GIONEE,P7 Max,"5,000.00",5000
GIONEE,GIONEE MAX,"5,000.00",5000
GIONEE,GIONEE F205 Pro,"5,000.00",5000
itel,itel A23R,"5,000.00",5000
GIONEE,A1 lite,"5,000.00",5000
itel,itel L5002,"5,000.00",5000
Coolpad,CP8298_I00,"5,000.00",5000
Lava,A76Plus,"5,000.00",5000
COMIO,COMIO S1,"5,000.00",5000
motorola,Moto Z2 Play,"5,199.00",5199
mobiistar,mobiistar,"5,325.00",5325
LAVA,Z1,"5,499.00",5499
LENOVO,Lenovo A6020a46,"5,990.00",5990
Xiaomi,Redmi Note 5,"6,000.00",6000
OPPO,A1601,"6,000.00",6000
alps,K1000,"6,000.00",6000
ITEL MOBILE LIMITED,itel L6006,"6,000.00",6000
itel,itel L6502,"6,000.00",6000
Realme,RMX1945,"6,000.00",6000
TECNO MOBILE LIMITED,TECNO KC1,"6,000.00",6000
vivo,vivo 1606,"6,000.00",6000
Xiaomi,HM NOTE 1S,"6,000.00",6000
Xiaomi,Redmi Y1 Lite,"6,000.00",6000
itel,itel L5503,"6,000.00",6000
motorola,Moto C,"6,000.00",6000
Micromax,ione,"6,000.00",6000
iBall Slide,Snap 4G2,"6,000.00",6000
samsung,SM-J260G,"6,190.00",6190
samsung,SM-J260GU,"6,190.00",6190
INFINIX MOBILITY LIMITED,Infinix X612B,"6,499.00",6499
samsung,SM-M022G,"6,799.00",6799
LENOVO,Lenovo K33a42,"6,880.00",6880
Lenovo,Lenovo L38043,"6,990.00",6990
motorola,moto e5 play,"6,999.00",6999
LENOVO,Lenovo A6020a40,"6,999.00",6999
Xiaomi,M2006C3LI,"7,000.00",7000
asus,ASUS_X00RD,"7,000.00",7000
HMD Global,Nokia 3.1,"7,000.00",7000
Xiaomi,Redmi Y1,"7,000.00",7000
Xiaomi,Redmi 8A,"7,000.00",7000
HMD Global,Nokia C3,"7,000.00",7000
itel,itel L6005,"7,000.00",7000
TECNO MOBILE LIMITED,TECNO BB4k,"7,000.00",7000
OPPO,RMX1811,"7,000.00",7000
samsung,SM-M025F,"7,000.00",7000
HMD Global,Nokia 3.1 Plus,"7,000.00",7000
Intex,Cloud S9,"7,000.00",7000
