Interest-Objective,Accountant,Brand Advisor,CEO,CFA,CFO,Co-founder,Company Secretary,COO,CTO,Designer,Entrepreneur,Executive,Finance Specialist,Financial Advisor,Financial Analyst,Graphic Designer,Growth hacker,Influencer,Investment fund,Investor,Journalist,Lawyer,Marketing Agency,Professional,Sales Specialist,Software Engineer,Startup,UI/UX Designer,Videographer,Writer
Lawyers - Explore new perspectives,0.3,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lawyers - Meet Interesting People,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Lawyers - Start a Company,0.4,0.2,0.2,0.4,0.4,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.1,0.2,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Lawyers - Provide Job opportunities,0.3,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lawyers - Explore job opportunities,0.3,0.1,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1
Lawyers - Invest in companies / make investor introductions,0.3,0.1,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.3,0.1,0.3,0.3,0.1,0.1,0.1
Lawyers - Make investor relations,0.3,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lawyers - Mentor others,0.4,0.1,0.2,0.5,0.5,0.2,0.4,0.2,0.2,0.1,0.2,0.2,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1
Lawyers - Mentor people,0.4,0.1,0.2,0.5,0.5,0.2,0.4,0.2,0.2,0.1,0.2,0.2,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1
Lawyers - Find a mentor,0.4,0.1,0.1,0.4,0.4,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lawyers - Share my industry expertise,0.4,0.1,0.2,0.5,0.5,0.2,0.4,0.2,0.2,0.1,0.2,0.2,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1
Lawyers - Learn about specific industries,0.4,0.1,0.1,0.4,0.4,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lawyers - Share product or technical knowledge,0.4,0.1,0.2,0.5,0.5,0.2,0.4,0.2,0.2,0.1,0.2,0.2,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1
