Sector-Sector,Agriculture,AI/ML/Blockchain,Airline/Aviation,Apparel & Fashion,Automotive & Transportation,Civic & Social Organization,Consumer Services,Cosmetics,Design & Media,E-commerce,Education,Entertainment,Offline Events,Financial Services,Food & Beverage,Gaming,"Health, Wellness & Fitness",Hospitality,Information technology & Services,Investment Management  & Capital Markets,Legal sector,Leisure Travel & Tourism,Luxury & Consumer Goods,Marketing & Adverting,Packaging & Distribution,Pharmaceutical,Philanthropy,Real Estate,Renewables & Environment,Sports,Staffing & Recruiting,Community & Social,"Technology,  Internet  & Software","Civil, Mechanical or Electrical Engineering",Logistics,Other
Agriculture,100,,,,,,,,,,,,,,60,,,,,,,,,,,,,,80,,,,,,,
AI/ML/Blockchain,,100,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,70,,,
Airline/Aviation,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparel & Fashion,,,,100,,,60,,,50,,,,,,,,,,,,,60,,,,,,,,,,,,,
Automotive & Transportation,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,
Civic & Social Organization,,,,,,100,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,
Consumer Services,,,,,,,100,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,
Cosmetics,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design & Media,,,,,,,,,100,,,80,,,,,,,,,,,,60,,,,,,,,,,,,
E-commerce,,,,50,,,,,,100,,,,,,,,,,,,,,,60,,,,,,,,,,60,
Education,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
Entertainment,,,,,,,,,80,,,100,,,,,,,,,,,,,,,,,,,,,,,,
Offline Events,,,,,,,,,,,,,100,,,,,,,,,,,60,,,,,,,,,,,,
Financial Services,,,,,,,,,,,,,,100,,,,,,80,50,,,,,,,60,,,,,,,,
Food & Beverage,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
Gaming,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,50,,,,,,
"Health, Wellness & Fitness",,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
Hospitality,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,
Information technology & Services,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
Investment Management  & Capital Markets,,,,,,,,,,,,,,80,,,,,,100,,,,,,,,70,,,,,,,,
Legal sector,,,,,,,,,,,,,,50,,,,,,,100,,,,,,,,,,,,,,,
Leisure Travel & Tourism,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,
Luxury & Consumer Goods,,,,60,,,,,,50,,,,,,,,,,,,,100,,,,,,,,,,,,,
Marketing & Adverting,,,,,,,60,,60,,,,60,,,,,,,,,,,100,,,,,,,,,,,,
Packaging & Distribution,,,,,,,,,,60,,,,,,,,,,,,,,,100,,,,,,,,,,60,
Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
Philanthropy,,,,,,80,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,
Real Estate,,,,,,,,,,,,,,60,,,,,,70,,,,,,,,100,,,,,,,,
Renewables & Environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,
Sports,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,100,,,,,,
Staffing & Recruiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
Community & Social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
"Technology,  Internet  & Software",,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
"Civil, Mechanical or Electrical Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
Logistics,,,,,70,,,,,60,,,,,,,,,,,,,,,60,,,,,,,,,,100,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
