Tag-Company Type,Not Employed,Startup,MNC,SME,Consultancy,Fund,Freelance
Startup Founders,15,100,30,60,30,15,15
SME Owners,20,60,30,100,30,15,15
Startup Investors,30,50,30,30,70,100,15
Financial Experts,15,30,80,50,60,70,40
Engineers,15,100,40,30,60,15,50
Business Development Executives,15,30,100,50,40,40,30
Marketing Experts,15,80,100,60,50,15,40
Business Advisors,20,40,80,60,100,15,60
Product Managers,20,100,80,40,60,15,50
Lawyers,20,30,60,40,100,15,40
Designers,20,80,60,30,100,15,60
Students/Interns,10,10,10,10,10,10,10
Senior Executives,30,40,100,60,80,40,60
Others,15,30,100,50,40,40,30
