Tag-Interest,Startup Founders,SME Owners,Startup Investors,Financial Experts,Engineers,Business Development Executives,Marketing Experts,Business Advisors,Product Managers,Lawyers,Designers,Students/Interns,Senior Executives,HR Executives
Startup Founder,100,80,60,30,50,10,30,50,60,10,10,10,60,10
SME Owner,80,100,50,30,10,10,30,60,50,10,10,10,70,10
Startup Investor,70,70,100,70,10,10,10,70,10,50,10,10,80,10
Financial Expert,10,10,70,100,10,10,10,80,10,60,10,10,40,10
Engineer,10,10,10,10,100,10,10,10,70,10,40,10,10,10
Business Development Executive,10,10,10,10,10,100,70,10,10,10,10,50,10,100
Marketing Expert,10,10,10,10,10,70,100,40,10,10,50,10,10,70
Business Advisor,60,70,60,60,10,10,50,100,10,10,10,10,70,10
Product Manager,10,10,10,10,70,10,10,10,100,10,50,10,10,10
Lawyer,10,10,10,10,10,10,10,10,10,100,10,10,50,10
Designer,10,10,10,10,60,10,10,10,50,10,100,10,10,10
Students/Intern,0,0,0,0,0,0,0,0,0,0,0,100,0,0
Senior Executive,60,70,60,50,10,60,50,70,10,40,10,10,100,60
Other,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HR Executive,10,10,10,10,10,100,70,10,10,10,10,50,10,100
