Tag-Tag,Startup Founder,SME Owner,Startup Investor,Financial Expert,Engineer,Business Development Executive,Marketing Expert,Business Advisor,Product Manager,Lawyer,Designer,Students/Intern,Senior Executive,Others,HR Executive
HR Executive,10,20,10,10,10,70,50,20,10,10,10,0,40,70,70
Startup Founder,100,50,100,20,30,10,40,60,40,10,20,0,40,10,10
SME Owner,50,70,20,40,10,20,40,80,10,40,10,0,60,20,20
Startup Investor,100,20,50,40,10,10,10,60,10,10,10,0,70,10,10
Financial Expert,20,70,50,40,10,10,10,50,10,40,10,0,40,10,10
Engineer,30,10,10,10,70,10,10,10,80,10,50,0,10,10,10
Business Development Executive,10,20,10,10,10,70,50,20,10,10,10,0,40,70,70
Marketing Expert,40,40,10,10,10,50,30,30,10,10,10,0,40,50,50
Business Advisor,60,80,60,50,10,20,30,10,30,10,10,0,80,20,20
Product Manager,40,10,10,80,80,10,10,30,100,10,50,0,10,10,10
Lawyer,10,40,10,40,10,10,10,10,10,0,10,0,40,10,10
Designer,20,10,10,10,50,10,10,10,50,10,70,0,10,10,10
Students/Intern,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Senior Executive,40,60,70,40,10,40,40,80,10,40,10,0,100,40,40
Other,10,20,10,10,10,70,50,20,10,10,10,0,40,70,70
