Tags,Accountant,Brand Advisor,CEO,CFA,CFO,Co-founder,Company Secretary,COO,CTO,Designer,Entrepreneur,Executive,Finance Specialist,Financial Advisor,Financial Analyst,Graphic Designer,Growth hacker,Influencer,Investment fund,Investor,Journalist,Lawyer,Marketing Agency,Professional,Sales Specialist,Software Engineer,Startup,UI/UX Designer,Videographer,Writer,,Associate,Board Member,Consultant,Director,Intern,Manager,Owner,Partner,President,Principal,Vice President
Accountant,0.2,0.3,0.8,0.2,0.7,0.8,0.3,0.5,0.4,0.4,0.8,0.6,0.3,0.3,0.3,0.4,0.2,0.1,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.3,0.2,,0.6,0.7,0.7,0.6,0.2,0.5,0.8,0.8,0.8,0.8,0.8
Brand Advisor,0.4,0.2,0.9,0.3,0.4,0.9,0.3,0.3,0.2,0.6,0.8,0.7,0.3,0.3,0.3,0.5,0.2,0.3,0.4,0.4,0.6,0.3,0.5,0.4,0.3,0.3,0.7,0.5,0.4,0.4,,0.6,0.7,0.7,0.6,0.2,0.5,0.8,0.8,0.8,0.8,0.8
CEO,0.2,0.3,0.9,0.5,0.8,0.9,0.2,0.8,0.8,0.5,0.8,0.7,0.5,0.5,0.4,0.5,0.2,0.1,0.9,0.9,0.4,0.3,0.4,0.5,0.4,0.6,0.7,0.6,0.4,0.3,,0.5,0.9,0.6,0.8,0.2,0.4,0.7,0.8,0.9,0.9,0.9
CFA,0.2,0.3,0.8,0.2,0.8,0.8,0.3,0.5,0.4,0.4,0.8,0.7,0.4,0.4,0.3,0.4,0.2,0.1,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.7,0.4,0.3,0.2,,0.6,0.8,0.7,0.6,0.2,0.5,0.8,0.8,0.9,0.9,0.9
CFO,0.2,0.3,0.8,0.6,0.9,0.8,0.2,0.8,0.8,0.5,0.8,0.7,0.6,0.6,0.5,0.4,0.1,0.1,0.8,0.8,0.4,0.3,0.3,0.5,0.4,0.5,0.6,0.5,0.4,0.3,,0.5,0.9,0.6,0.8,0.2,0.4,0.7,0.8,0.9,0.9,0.9
Co-founder,0.2,0.3,0.9,0.5,0.8,0.9,0.2,0.8,0.8,0.5,0.8,0.7,0.5,0.5,0.4,0.5,0.2,0.1,0.9,0.9,0.4,0.3,0.4,0.5,0.4,0.6,0.7,0.6,0.4,0.3,,0.5,0.9,0.6,0.8,0.2,0.4,0.7,0.8,0.9,0.9,0.9
Company Secretary,0.2,0.3,0.8,0.2,0.7,0.8,0.3,0.5,0.4,0.4,0.8,0.6,0.3,0.3,0.3,0.4,0.2,0.1,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.3,0.2,,0.6,0.7,0.7,0.6,0.2,0.5,0.8,0.8,0.9,0.9,0.9
COO,0.2,0.3,0.8,0.5,0.8,0.8,0.2,0.8,0.9,0.5,0.8,0.7,0.5,0.5,0.4,0.5,0.1,0.1,0.8,0.8,0.3,0.2,0.3,0.4,0.4,0.5,0.7,0.5,0.4,0.3,,0.5,0.8,0.6,0.8,0.2,0.4,0.7,0.8,0.9,0.9,0.9
CTO,0.2,0.3,0.8,0.6,0.9,0.8,0.2,0.8,0.9,0.5,0.8,0.6,0.4,0.4,0.4,0.4,0.1,0.1,0.8,0.8,0.2,0.2,0.2,0.4,0.4,0.7,0.6,0.6,0.4,0.3,,0.5,0.8,0.6,0.8,0.2,0.4,0.7,0.8,0.8,0.8,0.8
Designer,0.3,0.2,0.9,0.3,0.4,0.9,0.3,0.3,0.2,0.4,0.8,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.4,0.3,0.3,0.7,0.5,0.4,0.4,,0.6,0.7,0.7,0.6,0.2,0.5,0.8,0.8,0.8,0.8,0.8
